Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Ipanema;3;2;1;166;7000.0;3400.0;0.0;42.16867469879518;Apartamento
Apartamento;Botafogo;1;0;0;53;1600.0;770.0;70.0;30.18867924528302;Apartamento
Apartamento;Lagoa;3;1;1;120;5500.0;1080.0;555.0;45.833333333333336;Apartamento
Apartamento;Barra da Tijuca;3;2;2;168;3500.0;2138.0;401.0;20.83333333333333;Apartamento
Apartamento;Tijuca;2;0;1;48;1700.0;700.0;0.0;35.416666666666664;Apartamento
Apartamento;Barra da Tijuca;2;1;1;60;2800.0;900.0;149.0;46.66666666666666;Apartamento
Apartamento;Laranjeiras;4;0;2;217;9000.0;1200.0;0.0;41.474654377880185;Apartamento
Apartamento;Ipanema;2;0;0;73;3000.0;700.0;190.0;41.0958904109589;Apartamento
Apartamento;Leblon;2;1;0;73;3800.0;1100.0;210.0;52.05479452054794;Apartamento
Apartamento;Copacabana;1;0;1;50;2500.0;516.0;25.0;50.0;Apartamento
Apartamento;Vila Isabel;2;2;1;91;2000.0;600.0;145.0;21.978021978021975;Apartamento
Apartamento;Campo Grande;2;1;0;50;1000.0;310.0;0.0;20.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;3000.0;1846.0;438.0;33.333333333333336;Apartamento
Apartamento;Centro;1;0;0;35;1000.0;300.0;0.0;28.571428571428573;Apartamento
Apartamento;Copacabana;2;0;0;79;3500.0;960.0;171.0;44.30379746835443;Apartamento
Apartamento;Copacabana;4;1;1;280;8500.0;1748.0;664.0;30.357142857142858;Apartamento
Apartamento;Camorim;3;1;1;75;2100.0;680.0;0.0;28.0;Apartamento
Apartamento;Flamengo;3;2;1;286;6500.0;2500.0;0.0;22.727272727272727;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;70;2200.0;750.0;0.0;31.428571428571427;Apartamento
Apartamento;Ipanema;3;1;1;160;4000.0;1250.0;2.0;25.0;Apartamento
Apartamento;Vila Isabel;3;1;2;79;2200.0;622.0;122.0;27.848101265822784;Apartamento
Apartamento;Tijuca;3;2;1;109;2500.0;742.0;105.0;22.93577981651376;Apartamento
Apartamento;Jardim Botânico;3;2;2;141;5000.0;1963.0;514.0;35.46099290780142;Apartamento
Apartamento;Campo Grande;1;1;0;46;650.0;250.0;0.0;14.130434782608695;Apartamento
Apartamento;Copacabana;1;0;0;30;1300.0;400.0;25.0;43.333333333333336;Apartamento
Apartamento;Jacarepaguá;3;1;1;78;2000.0;1200.0;110.0;25.64102564102564;Apartamento
Apartamento;Catete;1;0;0;37;1300.0;360.0;24.0;35.13513513513514;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;110;2300.0;648.0;156.0;20.90909090909091;Apartamento
Apartamento;Botafogo;3;1;1;105;5800.0;1350.0;281.0;55.23809523809524;Apartamento
Apartamento;Copacabana;3;0;1;160;5000.0;800.0;190.0;31.25;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;81;1800.0;750.0;110.0;22.22222222222222;Apartamento
Apartamento;Copacabana;4;1;3;217;9000.0;2754.0;650.0;41.474654377880185;Apartamento
Apartamento;Laranjeiras;3;2;1;130;3200.0;1050.0;220.0;24.615384615384617;Apartamento
Apartamento;Barra da Tijuca;4;3;2;270;7000.0;2600.0;650.0;25.925925925925927;Apartamento
Apartamento;Copacabana;1;0;0;45;1600.0;420.0;72.0;35.55555555555556;Apartamento
Apartamento;Barra da Tijuca;2;1;1;90;2200.0;1392.0;289.0;24.444444444444443;Apartamento
Apartamento;Lagoa;2;2;2;100;3500.0;1020.0;380.0;35.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;102;2700.0;1523.0;2944.0;26.47058823529412;Apartamento
Apartamento;Copacabana;1;0;0;40;2000.0;617.0;24.0;50.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;126;5000.0;1200.0;0.0;39.68253968253968;Apartamento
Apartamento;Leblon;2;1;0;80;5000.0;1700.0;180.0;62.5;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;84;1600.0;510.0;185.0;19.047619047619047;Apartamento
Apartamento;Laranjeiras;3;2;1;147;4900.0;1320.0;226.0;33.333333333333336;Apartamento
Apartamento;Ipanema;3;1;1;150;6000.0;2200.0;500.0;40.0;Apartamento
Apartamento;Jacarepaguá;2;1;1;80;1900.0;1300.0;100.0;23.75;Apartamento
Apartamento;Ipanema;3;2;1;190;4500.0;2600.0;514.0;23.68421052631579;Apartamento
Apartamento;Leblon;2;1;0;82;3800.0;1060.0;0.0;46.34146341463415;Apartamento
Apartamento;Barra da Tijuca;2;2;1;180;5000.0;1400.0;500.0;27.77777777777778;Apartamento
Apartamento;Bonsucesso;2;0;0;61;1100.0;284.0;0.0;18.0327868852459;Apartamento
Apartamento;Barra da Tijuca;3;2;1;120;4100.0;1750.0;414.0;34.166666666666664;Apartamento
Apartamento;São Conrado;3;2;1;250;5500.0;750.0;500.0;22.0;Apartamento
Apartamento;Ipanema;2;1;0;124;4500.0;1177.0;297.0;36.29032258064516;Apartamento
Apartamento;Barra da Tijuca;4;2;1;115;2800.0;1800.0;250.0;24.347826086956523;Apartamento
Apartamento;Botafogo;1;0;0;40;1800.0;350.0;0.0;45.0;Apartamento
Apartamento;Laranjeiras;2;0;0;70;2200.0;500.0;74.0;31.428571428571427;Apartamento
Apartamento;Barra da Tijuca;4;3;2;310;9500.0;2200.0;1750.0;30.64516129032258;Apartamento
Apartamento;Ipanema;2;1;0;45;3000.0;500.0;30.0;66.66666666666667;Apartamento
Apartamento;Flamengo;2;1;0;70;2600.0;900.0;120.0;37.142857142857146;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;80;2000.0;750.0;370.0;25.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;72;1500.0;650.0;131.0;20.83333333333333;Apartamento
Apartamento;Ipanema;3;1;1;127;7000.0;1000.0;0.0;55.11811023622048;Apartamento
Apartamento;Copacabana;3;1;1;100;8000.0;1050.0;340.0;80.0;Apartamento
Apartamento;Ipanema;3;2;1;157;9000.0;2900.0;620.0;57.32484076433121;Apartamento
Apartamento;Vila Isabel;1;1;1;50;1050.0;450.0;0.0;21.0;Apartamento
Apartamento;Leblon;3;1;1;123;8000.0;1800.0;419.0;65.04065040650407;Apartamento
